Page,Clicks,Impressions,CTR,Position
https://www.beautydiaries.gr/alithines-istories/made-in-greece/pandrosia-i-istoria-poy-periechei-ti-thaymatoyrgi-aloi-vera/,11,513,2.14%,31.14
https://www.beautydiaries.gr/oraioi-anthropoi/friend-request/i-dafni-karavokyri-den-einai-apla-ena-omorfo-koritsi-tis-epochis/,11,431,2.55%,9.51
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/h-pio-pragmatika-hot-hair-mask-kostizei-mono-e3-99/,11,179,6.15%,13.17
https://www.beautydiaries.gr/nyxia/esy-poio-chroma-i-schedio-epilegeis-gia-ta-nychia-ton-diakopon-soy/,10,837,1.19%,12.08
https://www.beautydiaries.gr/apopsi/tade-efi/5-antiliakes-poydres-poy-kalyptoyn-kathe-anagki-gia-apsogi-epidermida/,10,239,4.18%,17.67
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/ta-nea-afroloytra-tis-nivea-me-argilo-einai-idanika-gia-vathy-katharismo-kai-kostizoyn-ligotero-apo-5-eyro/,10,203,4.93%,25.45
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/i-teleia-nude-apochrosi-kragion-piso-apo-ti-sosti-epilogi-soy/,10,73,13.7%,16.01
https://www.beautydiaries.gr/apopsi/tade-efi/kathe-thymisi-thelei-chrono/,9,1032,0.87%,12.09
https://www.beautydiaries.gr/diagonismos/kerdise-ton-teleio-oro-kata-ton-kilidon-vinoperfect-tis-caudalie/,9,618,1.46%,17.41
https://www.beautydiaries.gr/nyxia/pinakes-zografikis-sta-nychia-i-tasi-poy-anadeiknyei-kallitechnes/,9,516,1.74%,14.09
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-ladia-prosopoy-poy-kanoyn-tin-epidermida-pio-veloydini-kai-lamperi-apo-pote/,9,477,1.89%,46.27
https://www.beautydiaries.gr/page/2/,9,398,2.26%,1.03
https://www.beautydiaries.gr/apopsi/tade-efi/otan-chreiasteis-droseri-krema-mation-kai-symvoyli-chrisis-gia-poly-lampero-vlemma-klikare-edo/,9,317,2.84%,39.39
https://www.beautydiaries.gr/blog/prochora-mprosta-thelisi-kai-polyvitamines-oneiron-chreiazesai/,9,232,3.88%,9.75
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/3-tropoi-1-symvoyli-gia-na-kaneis-to-fon-n/,9,188,4.79%,26.54
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/to-kragion-einai-to-apolyto-oplo-goiteias-kai-giortazei-simera-alla-kai-kathimerina/,9,159,5.66%,17.09
https://www.beautydiaries.gr/2011/03/05/κυρία-με-τα-όλα-της/,9,105,8.57%,9.53
https://www.beautydiaries.gr/apopsi/tade-efi/ola-osa-thes-na-xereis-gia-tin-limited-edition-maska-tis-kiehl-s-kai-gia-osa-me-eythyni-pros-to-perivallon-dimioyrgei/,9,65,13.85%,20.08
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-kremes-nychtas-poy-afinoyn-tin-epidermida-soy-oneiremeni-to-epomeno-kiolas-proi/,8,375,2.13%,42.65
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/oraia-mallia-einai-ta-enydatomena-mallia/,8,194,4.12%,13.94
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-teleies-maskara-poy-den-kompiazoyn-me-tipota/,8,187,4.28%,25.77
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/einai-telika-ena-micerall-proion-mallion-o-ti-kalytero-gia-kathimerini-chrisi/,8,127,6.3%,20.66
https://www.beautydiaries.gr/beautynews/peripoiisi/xekoyrastos-vlemma-3-droseres-kremes-mation-poy-svinoyn-ta-simadia-koyrasis/,8,108,7.41%,22.73
https://www.beautydiaries.gr/omorfoxamos/beautyreview/ayta-ta-advent-calendar-einai-ta-best-seller-xristoygenniatika-dora-pagkosmios/,8,102,7.84%,17.83
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/esy-xereis-ti-akrivos-kanei-ena-primer-mallion/,8,80,10%,17.54
https://www.beautydiaries.gr/category/oraioi-anthropoi/,7,972,0.72%,1.94
https://www.beautydiaries.gr/diagonismos/kerdise-mia-fytiki-vafi-aveda-sto-kommotirio-steki-moy-aveda-teo/,7,851,0.82%,50.66
https://www.beautydiaries.gr/beautynews/aroma/esy-xereis-poia-i-diafora-toy-eau-de-toilette-apo-to-eau-de-parfum/,7,595,1.18%,9.03
https://www.beautydiaries.gr/apopsi/tade-efi/poia-einai-i-istoria-piso-apo-ena-yperocho-kragion-me-ploysio-chroma/,7,475,1.47%,45.53
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/yparchoyn-ki-ayta-ta-chtenismata-poy-antechoyn-sti-zesti/,7,210,3.33%,25.97
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/eisai-online-des-poio-eidos-grammis-eyeliner-soy-tairiazei/,7,198,3.54%,28.11
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/clinique-id-me-ligo-mov-kai-oi-rytides-den-einai-pia-idies/,7,153,4.58%,34.06
https://www.beautydiaries.gr/blog/mia-istoria-choris-archi-mesi-kai-telos/,7,137,5.11%,10
https://www.beautydiaries.gr/apopsi/tade-efi/giati-i-moisture-surge-72-hour-auto-replenishing-hydrator-tis-clinique-einai-o-ti-chreiazesai-gia-olo-to-kalokairi/,7,133,5.26%,10.28
https://www.beautydiaries.gr/omorfoxamos/quiz/koyiz-posa-xereis-gia-ti-sosti-antiliaki-prostasia/,7,129,5.43%,14.24
https://www.beautydiaries.gr/blog/xereis-oti-lampeis-sta-alitheia-poly-otan-chamogelas-apo-kardias/,7,110,6.36%,13.71
https://www.beautydiaries.gr/omorfoxamos/politeliproiontaomorfias/ayto-to-polyteles-aroma-einai-voytygmeno-se-roymi-me-giasemi-kai-piperi/,7,94,7.45%,13.19
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/me-toso-kryo-den-soy-stronei-to-kragion-dokimase-na-kaneis-apolepisi-cheilion/,7,94,7.45%,16.44
https://www.beautydiaries.gr/tag/scrub-cheilion/,7,28,25%,38.43
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-margkot-rompi-apokalypse-sto-diadiktyo-to-neo-tis-aroma/,6,503,1.19%,14.62
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-margkot-elis-rompi-ki-o-oikos-chanel-molis-edosan-ta-cheria-kai-i-esans-epitychias-einai-dedomeni/,6,464,1.29%,8.32
https://www.beautydiaries.gr/stonkosmotisomorfias/aveda-teo-love-on-the-h-air/,6,422,1.42%,16.77
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-matia-tis-kiara-ferani-egine-mia-diki-tis-syllogi-makigiaz-me-tin-ypografi-tis-lancome/,6,211,2.84%,20.34
https://www.beautydiaries.gr/oraioi-anthropoi/friend-request/poia-einai-i-amelie-poy-dimioyrgei-fantastikes-marmelades-somatos-me-aroma-sokolatas/,6,176,3.41%,12.04
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-proionta-ntemakigiaz-poy-afairoyn-eykola-kai-grigora-ta-panta-ola/,6,149,4.03%,23.57
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/i-caudalie-echei-tin-pio-soyper-antiliaki-seira-gia-sena-poy-noiazesai-gia-to-perivallon/,6,114,5.26%,22.58
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/tonose-epidermida-mallia-kai-diathesi-me-ligo-tzintzer/,6,110,5.45%,17.9
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-ekpliktika-proionta-peripoiisis-me-simantiki-antiliaki-prostasia-gia-tin-poli/,6,100,6%,39.35
https://www.beautydiaries.gr/poia-eimai/,6,95,6.32%,26.36
https://www.beautydiaries.gr/apopsi/tade-efi/ena-katharistiko-balm-me-triantafylla-einai-i-apantisi-stin-kathimerini-soy-frontida-genika/,6,95,6.32%,32.01
https://www.beautydiaries.gr/beautynews/aroma/ta-pio-dynamika-aromata-tis-epochis-freskaroyn-ta-mporo-soy/,6,86,6.98%,9.8
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/to-antidoto-toy-aythentikoy-ellinikoy-giaoyrtioy-gia-proti-fora-se-mia-superfood-maska/,6,71,8.45%,27.37
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/antiliako-se-morfi-poydras-o-nai/,6,67,8.96%,17.87
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/to-teleio-kragion-poy-forietai-ki-os-royz-kai-ta-spaei/,6,47,12.77%,14.66
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/tetoia-kanei-o-tom-ford-kai-oi-kalokairinoi-erotes-den-tha-echoyn-imerominia-lixis/,6,38,15.79%,30.97
https://www.beautydiaries.gr/diagonismos/diagonismos-kerdise-doro-mia-yperochi-syllogi-proionton-makigiaz-shiseido-axias-250-eyro/,5,883,0.57%,19.85
https://www.beautydiaries.gr/apopsi/tade-efi/esy-chrisimopoieis-sosta-ta-proionta-katharismoy-soy/,5,253,1.98%,18.68
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/me-agora-mia-krema-benefiance-tis-shiseido-echeis-doro-ena-neseser-me-mini-proionta/,5,251,1.99%,11.39
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-24/,5,218,2.29%,30.92
https://www.beautydiaries.gr/2015/06/29/eικόνες-και-στιγμές-για-να-ουρλιάξεις-wake-up/,5,216,2.31%,8.46
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/antigiransi-kato-apo-35-eyro/,5,175,2.86%,63.23
https://www.beautydiaries.gr/omorfoxamos/beautyreview/mipos-chreiazesai-ena-magiko-lychnari-kai-ligi-lampsi-sta-matia-gia-na-kaneis-ta-oneira-soy-pragmatikotita/,5,168,2.98%,22.12
https://www.beautydiaries.gr/apopsi/tade-efi/i-teleia-epidermida-mporei-na-ginei-teleioteri-m-ayto-to-syndyasmo-proionton/,5,166,3.01%,15.76
https://www.beautydiaries.gr/apopsi/omorfia/pote-epapses-na-pisteyeis-oti-eisai-omorfi-diary3/,5,156,3.21%,8.05
https://www.beautydiaries.gr/omorfoxamos/politeliproiontaomorfias/otan-thes-kokkino-kragion-gia-ta-cheili-soy-me-to-pio-deleastiko-aroma/,5,138,3.62%,18.13
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/ayti-einai-i-teleia-sos-peripoiisi-gia-tin-xiri-ki-eyaisthiti-epidermida/,5,135,3.7%,22.42
https://www.beautydiaries.gr/apopsi/tade-efi/xereis-oti-yparchei-ena-fyto-gia-kathe-epidermida/,5,135,3.7%,24.73
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/ti-kanei-i-diki-mas-demy-sto-los-angeles-exo-apo-ta-thrylika-studios-tis-smashbox/,5,124,4.03%,20.82
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/5-protaseis-gia-after-sun-peripoiisi-apo-mia-drastiria-farmakopoio/,5,118,4.24%,12.69
https://www.beautydiaries.gr/stonkosmotisomorfias/lyriki-skini-exclusive-backstage-stin-proetoimasia-makigiaz-tis-diasimoteris-gallikis-operas/,5,112,4.46%,19.04
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/poso-aparaitito-einai-to-essence-stin-kathimerini-roytina-peripoiisis/,5,90,5.56%,12.14
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/etsi-antimetopise-ti-gyalada-tis-epidermidas-soy/,5,66,7.58%,7.03
https://www.beautydiaries.gr/beautynews/makigiaz/giati-einai-must-have-ena-proion-makigiaz-poy-kostizei-9-99-ki-echei-xetrelanei-tin-antriana-lima/,5,64,7.81%,12.8
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-proionta-me-spf-poy-einai-aparaitita-gia-sena-poy-xechnas-tin-antiliaki-soy-to-cheimona/,5,62,8.06%,36.77
https://www.beautydiaries.gr/apopsi/tade-efi/orkizomai-sti-freskada-toy-analafroy-chanel-les-beiges-water-fresh-tint/,5,56,8.93%,17.14
https://www.beautydiaries.gr/nyxia/ayta-ta-nychia-tha-forethoyn-poly-me-ta-prota-krya/,5,44,11.36%,8.75
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-34/,5,43,11.63%,12.53
https://www.beautydiaries.gr/des-ta-panta-allios-ki-alliotika/kinisi-mat/,4,642,0.62%,10.31
https://www.beautydiaries.gr/diagonismos/diagonismos-kerdise-2-anazoogonitika-proionta-somatos-tis-molton-brown/,4,506,0.79%,15.37
https://www.beautydiaries.gr/apopsi/teleia-i-teleia/,4,415,0.96%,12.29
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-klemens-poesi-chrisimopoiei-enydatiki-me-kataprayntikes-idiotites-poy-meionei-to-stres/,4,362,1.1%,13.7
https://www.beautydiaries.gr/blog/gyreyontas-tin-kalokairini-esans-xegnoiasias/,4,293,1.37%,8.51
https://www.beautydiaries.gr/omorfoxamos/beautyreview/ayto-to-katharistiko-prosopoy-me-tis-pio-veloydines-fysalides-einai-to-kati-allo/,4,278,1.44%,68.01
https://www.beautydiaries.gr/2014/02/21/όμορφη-είσαι-και-φαίνεσαι/,4,249,1.61%,12.85
https://www.beautydiaries.gr/apopsi/tade-efi/kinisi-mat/,4,215,1.86%,16.93
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/to-neo-aroma-poy-den-apochorizetai-pia-i-ariane-labed-einai-mageytiko/,4,144,2.78%,22.03
https://www.beautydiaries.gr/xoros/ayto-einai-ena-yperocho-nychadiko-sto-n-psychiko/,4,133,3.01%,12.95
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/giati-i-mili-mpompi-mpraoyn-vgazei-ti-diki-tis-vegan-seira-kallyntikon/,4,133,3.01%,13.37
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/esy-echeis-katalavei-pos-doyleyoyn-ta-boosters-tis-frezyderm/,4,128,3.12%,30.08
https://www.beautydiaries.gr/apopsi/tade-efi/beauty-elixir-mia-pantotini-agapi-apo-to-proto-psit/,4,109,3.67%,17.11
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/like-sta-proionta-peripoiisis-somatos-me-1-4-enydatikis-kremas-ki-exotika-aromata/,4,106,3.77%,23.31
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/ola-osa-prepei-na-kaneis-gia-na-echei-soyper-diarkeia-to-kragion-sta-cheili-soy/,4,99,4.04%,19.81
https://www.beautydiaries.gr/alithines-istories/mia-fora-ki-enan-kairo/ola-osa-thes-na-xereis-gia-tin-aveda-poy-anazoogonei-skepsi-kai-psychi/,4,98,4.08%,21.11
https://www.beautydiaries.gr/apopsi/beautynews-apopsi/eides-to-pio-stylish-manikioyr-toy-instagram/,4,96,4.17%,12.9
https://www.beautydiaries.gr/blog/to-teleio-soma-dokimazetai-stin-enthoysiodi-toy-kinisi/,4,95,4.21%,9.27
https://www.beautydiaries.gr/beautynews/makigiaz/eisai-online-des-poio-eidos-grammis-eyeliner-soy-tairiazei/,4,86,4.65%,21.15
https://www.beautydiaries.gr/apopsi/pigaine-oso-pio-makria-ginetai/,4,84,4.76%,6.82
https://www.beautydiaries.gr/2014/07/13/kαλοκαιρινή-συμπεριφορά/,4,77,5.19%,9.91
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/5-1-ofeli-toy-neroy-micellar-gia-tin-kathe-epidermida/,4,69,5.8%,20.59
https://www.beautydiaries.gr/apopsi/tade-efi/maskaremata-gia-ligi-tryferada/,4,58,6.9%,8.62
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/ti-na-kaneis-otan-den-echeis-mazi-soy-to-agapimeno-soy-highlighter/,4,58,6.9%,21.97
https://www.beautydiaries.gr/apopsi/omorfia/ayti-einai-i-alithini-omorfia/,4,52,7.69%,14.94
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-38/,4,51,7.84%,21.24
https://www.beautydiaries.gr/omorfoxamos/beautyreview/dokimasa-kai-latrepsa-tin-teleioteri-paleta-highlighter/,4,45,8.89%,18.93
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/giati-einai-must-have-ena-proion-makigiaz-poy-kostizei-9-99-ki-echei-xetrelanei-tin-antriana-lima/,4,37,10.81%,14.05
https://www.beautydiaries.gr/beautynews/makigiaz/to-teleiotero-powder-foundation-einai-mia-nea-ki-yperochi-empneysi-tis-kat-von-d/,4,33,12.12%,9.48
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/grown-alhemist-apostithise-merika-apithana-gia-tin-kalyteri-viologiki-seira-peripoiisis/,4,24,16.67%,16.88
https://www.beautydiaries.gr/blog/agnanteyontas-to-mple/,3,899,0.33%,9.08
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/esy-echeis-epilexei-ta-sosta-pinela-makigiaz/,3,800,0.38%,33.23
